Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,name,land area,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,SOUTHERN,80,CALVERT,calvert,213.15,9,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,26,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,SOUTHERN,80,CHARLES,charles,457.75,17,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,790,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,SOUTHERN,80,CHARLES,charles,457.75,17,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,31,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,SOUTHERN,80,PRINCE GEORGES,prince george's,482.69,33,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,948,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,SOUTHERN,80,PRINCE GEORGES,prince george's,482.69,33,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,30,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,SOUTHERN,80,ST MARYS,st. mary's,357.18,37,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,1343,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,SOUTHERN,80,ST MARYS,st. mary's,357.18,37,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,61,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,UPPER EASTERN SHORE,30,CAROLINE,caroline,319.42,11,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,613,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,UPPER EASTERN SHORE,30,CAROLINE,caroline,319.42,11,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,56,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,UPPER EASTERN SHORE,30,CECIL,cecil,346.27,15,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,2662,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,UPPER EASTERN SHORE,30,CECIL,cecil,346.27,15,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,67,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,UPPER EASTERN SHORE,30,KENT,kent,277.03,29,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,451,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,UPPER EASTERN SHORE,30,KENT,kent,277.03,29,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,6,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,UPPER EASTERN SHORE,30,QUEEN ANNES,queen anne's,371.91,35,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,684,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,UPPER EASTERN SHORE,30,QUEEN ANNES,queen anne's,371.91,35,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,19,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,UPPER EASTERN SHORE,30,TALBOT,talbot,268.54,41,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,263,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,UPPER EASTERN SHORE,30,TALBOT,talbot,268.54,41,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,9,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,WESTERN,10,ALLEGANY,allegany,424.16,1,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,352,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,WESTERN,10,ALLEGANY,allegany,424.16,1,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,42,(H)
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,WESTERN,10,GARRETT,garrett,647.1,23,,,0,,EQUINE,"EQUINE, HORSES & PONIES - INVENTORY",TOTAL,NOT SPECIFIED,689,43.3
CENSUS,2017,END OF DEC,,COUNTY,MARYLAND,24,WESTERN,10,GARRETT,garrett,647.1,23,,,0,,EQUINE,"EQUINE, MULES & BURROS & DONKEYS - INVENTORY",TOTAL,NOT SPECIFIED,46,(H)
